discipline,subtype,legacy_question_id,legacy_dimension,mapped_gate,action,replacement_id,notes
Access Control Systems,Door Readers,BASE-014,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-014,"Has BLOCKER violations: RULE-102, RULE-103"
Access Control Systems,Door Readers,BASE-015,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Access Control Systems,Electric Strikes / Mag Locks,BASE-016,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-016,Has BLOCKER violations: RULE-102
Access Control Systems,Electric Strikes / Mag Locks,BASE-017,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Access Control Systems,Electric Strikes / Mag Locks,BASE-018,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-018,"Has BLOCKER violations: RULE-102, RULE-103"
Access Control Systems,Electric Strikes / Mag Locks,BASE-019,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Access Control Systems,Electronic Access Control,BASE-020,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-020,Has BLOCKER violations: RULE-102
Access Control Systems,Electronic Access Control,BASE-021,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Access Control Systems,Electronic Access Control,BASE-022,MAINTENANCE_ASSURANCE,CONTROL_RESILIENCE,REWRITE,BASE-022,"Has BLOCKER violations: RULE-102, RULE-103"
Access Control Systems,Electronic Access Control,BASE-023,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Access Control Systems,Keypads / PIN Entry,BASE-024,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-024,Has BLOCKER violations: RULE-102
Access Control Systems,Keypads / PIN Entry,BASE-025,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Access Control Systems,Keypads / PIN Entry,BASE-026,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-026,"Has BLOCKER violations: RULE-102, RULE-103"
Access Control Systems,Keypads / PIN Entry,BASE-027,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Access Control Systems,Locking Hardware,BASE-028,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-028,Has BLOCKER violations: RULE-102
Access Control Systems,Locking Hardware,BASE-029,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Access Control Systems,Locking Hardware,BASE-030,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-030,"Has BLOCKER violations: RULE-102, RULE-103"
Access Control Systems,Locking Hardware,BASE-031,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Access Control Systems,Secured Vestibules,BASE-032,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-032,Has BLOCKER violations: RULE-102
Access Control Systems,Secured Vestibules,BASE-033,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Access Control Systems,Secured Vestibules,BASE-034,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-034,"Has BLOCKER violations: RULE-102, RULE-103"
Access Control Systems,Secured Vestibules,BASE-035,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Access Control Systems,Visitor Management Systems,BASE-036,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-036,Has BLOCKER violations: RULE-102
Access Control Systems,Visitor Management Systems,BASE-037,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Access Control Systems,Visitor Management Systems,BASE-038,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-038,"Has BLOCKER violations: RULE-102, RULE-103"
Access Control Systems,Visitor Management Systems,BASE-039,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
CPTED,Defensible Space,BASE-040,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-040,Has BLOCKER violations: RULE-102
CPTED,Defensible Space,BASE-041,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
CPTED,Defensible Space,BASE-042,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-042,"Has BLOCKER violations: RULE-102, RULE-103"
CPTED,Defensible Space,BASE-043,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
CPTED,Exterior Lighting,BASE-044,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-044,Has BLOCKER violations: RULE-102
CPTED,Exterior Lighting,BASE-045,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
CPTED,Exterior Lighting,BASE-046,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-046,"Has BLOCKER violations: RULE-102, RULE-103"
CPTED,Exterior Lighting,BASE-047,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
CPTED,Landscaping Control,BASE-048,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-048,Has BLOCKER violations: RULE-102
CPTED,Landscaping Control,BASE-049,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
CPTED,Landscaping Control,BASE-050,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-050,"Has BLOCKER violations: RULE-102, RULE-103"
CPTED,Landscaping Control,BASE-051,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
CPTED,Natural Surveillance,BASE-052,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-052,Has BLOCKER violations: RULE-102
CPTED,Natural Surveillance,BASE-053,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
CPTED,Natural Surveillance,BASE-054,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-054,"Has BLOCKER violations: RULE-102, RULE-103"
CPTED,Natural Surveillance,BASE-055,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
CPTED,Sightlines,BASE-056,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-056,Has BLOCKER violations: RULE-102
CPTED,Sightlines,BASE-057,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
CPTED,Sightlines,BASE-058,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-058,"Has BLOCKER violations: RULE-102, RULE-103"
CPTED,Sightlines,BASE-059,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
CPTED,Territorial Reinforcement,BASE-060,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-060,Has BLOCKER violations: RULE-102
CPTED,Territorial Reinforcement,BASE-061,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
CPTED,Territorial Reinforcement,BASE-062,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-062,"Has BLOCKER violations: RULE-102, RULE-103"
CPTED,Territorial Reinforcement,BASE-063,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
CPTED,Wayfinding,BASE-064,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-064,Has BLOCKER violations: RULE-102
CPTED,Wayfinding,BASE-065,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
CPTED,Wayfinding,BASE-066,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-066,"Has BLOCKER violations: RULE-102, RULE-103"
CPTED,Wayfinding,BASE-067,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Communications,Backup Communications,BASE-068,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-068,Has BLOCKER violations: RULE-102
Communications,Backup Communications,BASE-069,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Communications,Backup Communications,BASE-070,MAINTENANCE_ASSURANCE,CONTROL_RESILIENCE,REWRITE,BASE-070,"Has BLOCKER violations: RULE-102, RULE-103"
Communications,Backup Communications,BASE-071,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Communications,Communication Protocols,BASE-072,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-072,Has BLOCKER violations: RULE-102
Communications,Communication Protocols,BASE-073,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Communications,Communication Protocols,BASE-074,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-074,"Has BLOCKER violations: RULE-102, RULE-103"
Communications,Communication Protocols,BASE-075,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Communications,Interoperable Communications,BASE-076,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-076,Has BLOCKER violations: RULE-102
Communications,Interoperable Communications,BASE-077,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Communications,Interoperable Communications,BASE-078,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-078,"Has BLOCKER violations: RULE-102, RULE-103"
Communications,Interoperable Communications,BASE-079,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Communications,PA Systems,BASE-080,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-080,Has BLOCKER violations: RULE-102
Communications,PA Systems,BASE-081,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Communications,PA Systems,BASE-082,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-082,"Has BLOCKER violations: RULE-102, RULE-103"
Communications,PA Systems,BASE-083,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Communications,Paging Systems,BASE-084,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-084,Has BLOCKER violations: RULE-102
Communications,Paging Systems,BASE-085,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Communications,Paging Systems,BASE-086,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-086,"Has BLOCKER violations: RULE-102, RULE-103"
Communications,Paging Systems,BASE-087,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Communications,Radios / Two-Way,BASE-088,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-088,Has BLOCKER violations: RULE-102
Communications,Radios / Two-Way,BASE-089,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Communications,Radios / Two-Way,BASE-090,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-090,"Has BLOCKER violations: RULE-102, RULE-103"
Communications,Radios / Two-Way,BASE-091,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Action Planning,Emergency Drills,BASE-092,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-092,Has BLOCKER violations: RULE-102
Emergency Action Planning,Emergency Drills,BASE-093,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Action Planning,Emergency Drills,BASE-094,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-094,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Action Planning,Emergency Drills,BASE-095,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Action Planning,Emergency Guides / Flip Charts,BASE-096,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-096,Has BLOCKER violations: RULE-102
Emergency Action Planning,Emergency Guides / Flip Charts,BASE-097,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Action Planning,Emergency Guides / Flip Charts,BASE-098,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-098,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Action Planning,Emergency Guides / Flip Charts,BASE-099,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Action Planning,Evacuation Procedures,BASE-100,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-100,Has BLOCKER violations: RULE-102
Emergency Action Planning,Evacuation Procedures,BASE-101,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Action Planning,Evacuation Procedures,BASE-102,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-102,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Action Planning,Evacuation Procedures,BASE-103,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Action Planning,Lockdown / Lockout Procedures,BASE-104,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-104,Has BLOCKER violations: RULE-102
Emergency Action Planning,Lockdown / Lockout Procedures,BASE-105,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Action Planning,Lockdown / Lockout Procedures,BASE-106,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-106,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Action Planning,Lockdown / Lockout Procedures,BASE-107,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Action Planning,Muster Points / Rally Areas,BASE-108,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-108,Has BLOCKER violations: RULE-102
Emergency Action Planning,Muster Points / Rally Areas,BASE-109,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Action Planning,Muster Points / Rally Areas,BASE-110,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-110,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Action Planning,Muster Points / Rally Areas,BASE-111,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Action Planning,Reunification Procedures,BASE-112,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-112,Has BLOCKER violations: RULE-102
Emergency Action Planning,Reunification Procedures,BASE-113,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Action Planning,Reunification Procedures,BASE-114,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-114,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Action Planning,Reunification Procedures,BASE-115,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Action Planning,Shelter-in-Place,BASE-116,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-116,Has BLOCKER violations: RULE-102
Emergency Action Planning,Shelter-in-Place,BASE-117,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Action Planning,Shelter-in-Place,BASE-118,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-118,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Action Planning,Shelter-in-Place,BASE-119,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Action Planning,Staff Emergency Roles,BASE-120,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-120,Has BLOCKER violations: RULE-102
Emergency Action Planning,Staff Emergency Roles,BASE-121,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Action Planning,Staff Emergency Roles,BASE-122,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-122,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Action Planning,Staff Emergency Roles,BASE-123,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Management & Resilience,Business Continuity,BASE-124,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-124,Has BLOCKER violations: RULE-102
Emergency Management & Resilience,Business Continuity,BASE-125,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Management & Resilience,Business Continuity,BASE-126,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-126,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Management & Resilience,Business Continuity,BASE-127,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Management & Resilience,Crisis Management,BASE-128,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-128,Has BLOCKER violations: RULE-102
Emergency Management & Resilience,Crisis Management,BASE-129,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Management & Resilience,Crisis Management,BASE-130,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-130,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Management & Resilience,Crisis Management,BASE-131,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Management & Resilience,Emergency Communications,BASE-132,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-132,Has BLOCKER violations: RULE-102
Emergency Management & Resilience,Emergency Communications,BASE-133,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Management & Resilience,Emergency Communications,BASE-134,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-134,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Management & Resilience,Emergency Communications,BASE-135,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Management & Resilience,ICS/NIMS Integration,BASE-136,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-136,Has BLOCKER violations: RULE-102
Emergency Management & Resilience,ICS/NIMS Integration,BASE-137,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Management & Resilience,ICS/NIMS Integration,BASE-138,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-138,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Management & Resilience,ICS/NIMS Integration,BASE-139,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Management & Resilience,Mass Notification,BASE-140,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-140,Has BLOCKER violations: RULE-102
Emergency Management & Resilience,Mass Notification,BASE-141,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Management & Resilience,Mass Notification,BASE-142,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-142,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Management & Resilience,Mass Notification,BASE-143,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Management & Resilience,Redundancy / Backup Systems,BASE-144,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-144,Has BLOCKER violations: RULE-102
Emergency Management & Resilience,Redundancy / Backup Systems,BASE-145,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Management & Resilience,Redundancy / Backup Systems,BASE-146,MAINTENANCE_ASSURANCE,CONTROL_RESILIENCE,REWRITE,BASE-146,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Management & Resilience,Redundancy / Backup Systems,BASE-147,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Management & Resilience,Resilience Planning,BASE-148,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-148,Has BLOCKER violations: RULE-102
Emergency Management & Resilience,Resilience Planning,BASE-149,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Management & Resilience,Resilience Planning,BASE-150,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-150,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Management & Resilience,Resilience Planning,BASE-151,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Ballistic Barriers,BASE-152,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-152,Has BLOCKER violations: RULE-102
Facility Hardening,Ballistic Barriers,BASE-153,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Facility Hardening,Ballistic Barriers,BASE-154,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-154,"Has BLOCKER violations: RULE-102, RULE-103"
Facility Hardening,Ballistic Barriers,BASE-155,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Blast Mitigation,BASE-156,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-156,Has BLOCKER violations: RULE-102
Facility Hardening,Blast Mitigation,BASE-157,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Facility Hardening,Blast Mitigation,BASE-158,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-158,"Has BLOCKER violations: RULE-102, RULE-103"
Facility Hardening,Blast Mitigation,BASE-159,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Exterior Wall Reinforcement,BASE-160,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-160,Has BLOCKER violations: RULE-102
Facility Hardening,Exterior Wall Reinforcement,BASE-161,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Facility Hardening,Exterior Wall Reinforcement,BASE-162,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-162,"Has BLOCKER violations: RULE-102, RULE-103"
Facility Hardening,Exterior Wall Reinforcement,BASE-163,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Impact-Resistant Glazing,BASE-164,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-164,Has BLOCKER violations: RULE-102
Facility Hardening,Impact-Resistant Glazing,BASE-165,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Facility Hardening,Impact-Resistant Glazing,BASE-166,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-166,"Has BLOCKER violations: RULE-102, RULE-103"
Facility Hardening,Impact-Resistant Glazing,BASE-167,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Structural Hardening,BASE-168,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-168,Has BLOCKER violations: RULE-102
Facility Hardening,Structural Hardening,BASE-169,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Facility Hardening,Structural Hardening,BASE-170,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-170,"Has BLOCKER violations: RULE-102, RULE-103"
Facility Hardening,Structural Hardening,BASE-171,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Window Film,BASE-172,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-172,Has BLOCKER violations: RULE-102
Facility Hardening,Window Film,BASE-173,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
